,Hexagon_ID,geometry,H3_centroids
0,891126d323bffff,"POLYGON ((24.934909298445547 60.1511718333123, 24.937590818035826 60.150482162581845, 24.940045484595654 60.15149378919804, 24.9398186447259 60.153195149775534, 24.937136896299368 60.15388483214084, 24.93468221658927 60.15287314229223, 24.934909298445547 60.1511718333123))",POINT (60.1521835027699 24.937363868216814)
1,891126d3157ffff,"POLYGON ((24.923450031338042 60.1787574935188, 24.926133638627064 60.17806851333714, 24.928589664567628 60.17908057422065, 24.928362096296365 60.18078167851094, 24.925678259772017 60.18147067030821, 24.923222220764693 60.180458546198004, 24.923450031338042 60.1787574935188))",POINT (60.17976959725576 24.925905960292344)
2,891126d3207ffff,"POLYGON ((24.929773477374745 60.15084969526387, 24.932454935395036 60.15016014141121, 24.934909298445547 60.1511718333123, 24.93468221658927 60.15287314229223, 24.932000529724128 60.15356270776584, 24.92954615357056 60.15255095263697, 24.929773477374745 60.15084969526387))",POINT (60.15186142999707 24.932227743620114)
3,891126d0617ffff,"POLYGON ((24.95584595294069 60.18851041885029, 24.958530556101586 60.18782081871579, 24.960989054363253 60.188832545932655, 24.960762962845386 60.190533936539595, 24.958078130399524 60.191223548380776, 24.955619618766995 60.19021175790671, 24.95584595294069 60.18851041885029))",POINT (60.18952218898816 24.958304354276915)
4,891126d3327ffff,"POLYGON ((24.95497225212708 60.17558909073175, 24.95765583235253 60.17489931503148, 24.960113351668927 60.17591092242585, 24.959887304123097 60.17761236877324, 24.95720349478415 60.178302156172414, 24.954745962115016 60.17729048552371, 24.95497225212708 60.17558909073175))",POINT (60.17660074103067 24.957429674588305)
5,891126d307bffff,"POLYGON ((24.9181357523887 60.1604116352804, 24.920817879418816 60.15972250249547, 24.923272294733167 60.16073444729428, 24.923044596031957 60.162435588095306, 24.92036223999964 60.163124732473854, 24.917907811681232 60.162112724456186, 24.9181357523887 60.1604116352804))",POINT (60.16142362290212 24.920590070802053)
6,891126d32a7ffff,"POLYGON ((24.926182027906236 60.158344014772574, 24.92886404934142 60.15765465983295, 24.93131875527781 60.158666476139715, 24.931091452865502 60.16036771061029, 24.92840920247597 60.16105707716432, 24.925954483463567 60.16004519763178, 24.926182027906236 60.158344014772574))",POINT (60.159355873913874 24.92863663698213)
7,891126d31c3ffff,"POLYGON ((24.913171862270964 60.178110785372795, 24.915855345990735 60.1774220390434, 24.918310763891245 60.1784342305571, 24.91808271105465 60.18013523161598, 24.915398998082466 60.180823989533096, 24.91294356720981 60.17981173480206, 24.913171862270964 60.178110785372795))",POINT (60.17912301972134 24.915627183152065)
8,891126d3047ffff,"POLYGON ((24.912999575486197 60.16008864115987, 24.915681640774874 60.15939962523856, 24.9181357523887 60.1604116352804, 24.917907811681232 60.162112724456186, 24.915225517381778 60.16280175195724, 24.912771392811077 60.16178967870117, 24.912999575486197 60.16008864115987))",POINT (60.161100694015346 24.91545359018243)
9,891126d335bffff,"POLYGON ((24.94450217604616 60.15691976692228, 24.947184214851454 60.156229955995464, 24.949639818483043 60.157241513108055, 24.949413396562232 60.15894294438782, 24.946731128867636 60.15963276697765, 24.944275511993666 60.15862114662314, 24.94450217604616 60.15691976692228))",POINT (60.15793136689961 24.94695768289095)
10,891126d069bffff,"POLYGON ((24.943330168791274 60.18515246699157, 24.94601441957535 60.18446311260458, 24.94847199215405 60.18547497300306, 24.94824532721278 60.18717625103244, 24.94556084715733 60.187865617091084, 24.94310326132504 60.1868536934471, 24.943330168791274 60.18515246699157))",POINT (60.186164370285475 24.945787644418637)
11,891126d14b7ffff,"POLYGON ((24.95700787038668 60.16027604944448, 24.959690260963953 60.159585992945736, 24.962146788752758 60.16059741713872, 24.961920939334156 60.16229896108252, 24.959238319854023 60.16298902927925, 24.956781778705857 60.161977541832634, 24.95700787038668 60.16027604944448))",POINT (60.161287516527814 24.959464301414506)
12,891126d333bffff,"POLYGON ((24.950510982887277 60.17016298177679, 24.953194104978174 60.169473229453004, 24.955650989878187 60.17048484123216, 24.955424766005454 60.17218626858298, 24.952741414862704 60.17287603259145, 24.95028451665501 60.17186435756286, 24.950510982887277 60.17016298177679))",POINT (60.171174636446466 24.952967770946927)
13,891126d33a7ffff,"POLYGON ((24.941780749708666 60.177335608057334, 24.944464374471668 60.17664617166746, 24.946921299220385 60.17765797318835, 24.946694612449956 60.17935927434038, 24.944010758516768 60.18004872239447, 24.941553820534708 60.179036857630734, 24.941780749708666 60.177335608057334))",POINT (60.17834745246189 24.944237577544946)
14,891126d14b3ffff,"POLYGON ((24.954777825984117 60.15756307699168, 24.95745998768932 60.15687303218378, 24.959916198505592 60.15788445853599, 24.959690260963953 60.159585992945736, 24.95700787038668 60.16027604944448, 24.954551646233565 60.15926455984107, 24.954777825984117 60.15756307699168))",POINT (60.15857454622721 24.957233940046752)
15,891126d14abffff,"POLYGON ((24.962824205032913 60.155492720344284, 24.965506260649224 60.154802453311056, 24.96796276164518 60.15581375099016, 24.967737220444054 60.15751537895895, 24.96505493600368 60.15820565770376, 24.962598421598972 60.1571942967666, 24.962824205032913 60.155492720344284))",POINT (60.15650406091826 24.96528060931585)
16,891126d33a3ffff,"POLYGON ((24.939551146102634 60.17462250106527, 24.9422345417263 60.17393307633249, 24.944691149300155 60.174944880014195, 24.944464374471668 60.17664617166746, 24.941780749708666 60.177335608057334, 24.939324128923975 60.17632374113523, 24.939551146102634 60.17462250106527))",POINT (60.17563434762359 24.942007656771462)
17,891126d334bffff,"POLYGON ((24.949639818483043 60.157241513108055, 24.95232191875891 60.156551585247634, 24.954777825984117 60.15756307699168, 24.954551646233565 60.15926455984107, 24.95186931707705 60.159954499378415, 24.949413396562232 60.15894294438782, 24.949639818483043 60.157241513108055))",POINT (60.158253047726106 24.952095628938036)
18,891126d1583ffff,"POLYGON ((24.965932099681122 60.171128012822756, 24.968615406054404 60.17043790948933, 24.971073202405485 60.171449324883525, 24.97084770584331 60.17315090687289, 24.968164170444076 60.17384102193282, 24.965706360643455 60.172829543275256, 24.965932099681122 60.171128012822756))",POINT (60.172139471135345 24.968389799241724)
19,891126d33abffff,"POLYGON ((24.94246140457641 60.17223179418705, 24.945144632675337 60.17154226414302, 24.947601227013557 60.17255400458208, 24.947374606498958 60.17425533830623, 24.944691149300155 60.174944880014195, 24.9422345417263 60.17393307633249, 24.94246140457641 60.17223179418705))",POINT (60.17324357750504 24.944917902033648)
20,891126d3147ffff,"POLYGON ((24.928589664567628 60.17908057422065, 24.931273333579544 60.17839147709185, 24.933729663536447 60.17940347262539, 24.93350233760593 60.181104628517474, 24.930818439367254 60.18179373727582, 24.928362096296365 60.18078167851094, 24.928589664567628 60.17908057422065))",POINT (60.18009261261696 24.93104589755489)
21,891126d15c3ffff,"POLYGON ((24.969517613520072 60.16363155447928, 24.97220035570075 60.162941252289876, 24.97465780788229 60.1639525433796, 24.974432531369988 60.16565419992243, 24.971749560272965 60.16634451384476, 24.969292094615017 60.16533315948975, 24.969517613520072 60.16363155447928))",POINT (60.16464288848492 24.97197496896644)
22,891126d3353ffff,"POLYGON ((24.941593305802186 60.15931085227947, 24.944275511993666 60.15862114662314, 24.946731128867636 60.15963276697765, 24.946504552778304 60.16133415622662, 24.943822117658193 60.16202387353916, 24.941366487566548 60.16101218994494, 24.941593305802186 60.15931085227947))",POINT (60.160322515496425 24.94404882586538)
23,891126d32b3ffff,"POLYGON ((24.918819441352273 60.15530830276435, 24.92150117218773 60.15461907629575, 24.923955257813514 60.15563095990245, 24.92372762562071 60.15733213319487, 24.921045665853175 60.15802137125687, 24.91859156722101 60.1570094244315, 24.918819441352273 60.15530830276435))",POINT (60.15632022918931 24.921273430108435)
24,891126d328fffff,"POLYGON ((24.91950293064533 60.150204872827906, 24.922184265402436 60.1495155526889, 24.92463802142681 60.15052737509001, 24.92441045571334 60.152228580847044, 24.92172889209434 60.152917912579184, 24.919275123061198 60.15190602695961, 24.91950293064533 60.150204872827906))",POINT (60.15121673804256 24.921956589831474)
25,891126d3177ffff,"POLYGON ((24.933047619281897 60.184506907695486, 24.935731746778245 60.183817787300484, 24.938188711152623 60.184829778543254, 24.937961561200137 60.186530953415684, 24.935277204415307 60.18722008545446, 24.93282022688193 60.186208030975465, 24.933047619281897 60.184506907695486))",POINT (60.18551894181506 24.935504486671743)
26,891126d306bffff,"POLYGON ((24.923272294733167 60.16073444729428, 24.925954483463567 60.16004519763178, 24.92840920247597 60.16105707716432, 24.928181745819735 60.162758269581296, 24.925499328095636 60.16344753085137, 24.923044596031957 60.162435588095306, 24.923272294733167 60.16073444729428))",POINT (60.161746369659056 24.925726916861084)
27,891126d3337ffff,"POLYGON ((24.949831517989555 60.17526707658208, 24.952515036722286 60.17457741788499, 24.95497225212708 60.17558909073175, 24.954745962115016 60.17729048552371, 24.952062214260163 60.1779801559058, 24.949604985549936 60.17696841980937, 24.949831517989555 60.17526707658208))",POINT (60.176278792324105 24.952288636522532)
28,891126d3323ffff,"POLYGON ((24.952741414862704 60.17287603259145, 24.955424766005454 60.17218626858298, 24.957881968080038 60.173197878177845, 24.95765583235253 60.17489931503148, 24.95497225212708 60.17558909073175, 24.952515036722286 60.17457741788499, 24.952741414862704 60.17287603259145))",POINT (60.173887685083834 24.95519852008948)
29,891126d06d3ffff,"POLYGON ((24.944010758516768 60.18004872239447, 24.946694612449956 60.17935927434038, 24.94915185444078 60.180371073684306, 24.948925255764838 60.182072384326034, 24.946241172630657 60.18276184405148, 24.943783917383936 60.181749981462275, 24.944010758516768 60.18004872239447))",POINT (60.18106056462908 24.94646790358776)
30,891126d31dbffff,"POLYGON ((24.910945131176327 60.17539758867214, 24.9136283856746 60.174708853923335, 24.916083486601682 60.17572104750232, 24.915855345990735 60.1774220390434, 24.913171862270964 60.178110785372795, 24.910716748394158 60.17709852857894, 24.910945131176327 60.17539758867214))",POINT (60.176409825078935 24.913400135091464)
31,891126d3007ffff,"POLYGON ((24.909404082587454 60.16758154320803, 24.91208671144584 60.16689272629494, 24.91454116569801 60.16790486074375, 24.914313004032056 60.16960587531629, 24.91163014605332 60.17029470380258, 24.909175678871463 60.16928250614152, 24.909404082587454 60.16758154320803))",POINT (60.16859372047289 24.911858439866617)
32,891126d0647ffff,"POLYGON ((24.964577335422792 60.1813370327278, 24.967261435340216 60.18064711657755, 24.969719893340592 60.18165865400943, 24.96949426487925 60.18336017085381, 24.966809935795343 60.18405009873118, 24.964351464349754 60.1830384980355, 24.964577335422792 60.1813370327278))",POINT (60.182348613087605 24.967035696569877)
33,891126d15b3ffff,"POLYGON ((24.970396646790228 60.176554038298534, 24.973080411246194 60.175863911505004, 24.97553884228191 60.17687532240258, 24.975313522366836 60.17857692336035, 24.972629528823315 60.179267061894635, 24.97017108429287 60.1782555877288, 24.970396646790228 60.176554038298534))",POINT (60.17756549212857 24.972854981020685)
34,891126d3077ffff,"POLYGON ((24.917451863667353 60.1655148702956, 24.920134387008396 60.16482583120772, 24.922589132098533 60.16583783718512, 24.922361366859853 60.16753894546795, 24.919678614446365 60.16822799614981, 24.91722385635452 60.16721592695331, 24.917451863667353 60.1655148702956))",POINT (60.16652691910069 24.91990651182505)
35,891126d065bffff,"POLYGON ((24.960113351668927 60.17591092242585, 24.962796993345812 60.175221029708474, 24.96525481657128 60.17623257162721, 24.965029011530362 60.17793406952069, 24.9623451407486 60.17862397395093, 24.959887304123097 60.17761236877324, 24.960113351668927 60.17591092242585))",POINT (60.17692250725844 24.96257107805583)
36,891126d336bffff,"POLYGON ((24.959238319854023 60.16298902927925, 24.961920939334156 60.16229896108252, 24.964377784162696 60.1633103831001, 24.964152022903498 60.16501193656888, 24.96146917448985 60.16570201647073, 24.95901231627937 60.16469053119709, 24.959238319854023 60.16298902927925))",POINT (60.16400049419419 24.961695067914203)
37,891126d3123ffff,"POLYGON ((24.93236537558991 60.189610244902475, 24.93504990000561 60.18892121821571, 24.937507194871184 60.1899332705275, 24.937279978488224 60.19163441276093, 24.934595224713632 60.19232345109183, 24.932137916691428 60.191311335543595, 24.93236537558991 60.189610244902475))",POINT (60.19062234009581 24.934822573439483)
38,891126d0607ffff,"POLYGON ((24.960989054363253 60.188832545932655, 24.963673719014963 60.188142828739274, 24.966132521414597 60.18915449043382, 24.965906672591263 60.19085593258198, 24.96322177866324 60.19154566149602, 24.960762962845386 60.190533936539595, 24.960989054363253 60.188832545932655))",POINT (60.189844250557535 24.963447759854084)
39,891126d31a3ffff,"POLYGON ((24.91917032255446 60.191353321312334, 24.92185489104151 60.190664633947996, 24.924311590570458 60.191676880266044, 24.92408373466008 60.193377877171756, 24.921398936757534 60.19406657614549, 24.918942224191426 60.19305426660252, 24.91917032255446 60.191353321312334))",POINT (60.192365610490995 24.921626925010152)
40,891126d3153ffff,"POLYGON ((24.92122220781725 60.17604432414243, 24.923905585901807 60.17535535556924, 24.926361294779344 60.17636741855525, 24.926133638627064 60.17806851333714, 24.923450031338042 60.1787574935188, 24.920994309416223 60.17774536730858, 24.92122220781725 60.17604432414243))",POINT (60.17705642997488 24.923677819715948)
41,891126d300fffff,"POLYGON ((24.912314960794127 60.165191721271704, 24.914997422369662 60.16450279906126, 24.917451863667353 60.1655148702956, 24.91722385635452 60.16721592695331, 24.91454116569801 60.16790486074375, 24.91208671144584 60.16689272629494, 24.912314960794127 60.165191721271704))",POINT (60.16620383532443 24.91476930514281)
42,891126d3183ffff,"POLYGON ((24.90957450066335 60.185603065106044, 24.912258548550145 60.184914517872045, 24.914714309455718 60.18592683374169, 24.914486035429974 60.18762776005907, 24.911801758181017 60.188316318874236, 24.909345984330493 60.18730393978926, 24.90957450066335 60.185603065106044))",POINT (60.186615423812924 24.912030164494002)
43,891126d310bffff,"POLYGON ((24.925678259772017 60.18147067030821, 24.928362096296365 60.18078167851094, 24.930818439367254 60.18179373727582, 24.930590959013422 60.183494851065475, 24.92790689322284 60.184183854485454, 24.92545053706277 60.18317173249148, 24.925678259772017 60.18147067030821))",POINT (60.18248277193351 24.928134505849183)
44,891126d3227ffff,"POLYGON ((24.93936489871707 60.15659783847163, 24.94204687601068 60.15590814446437, 24.94450217604616 60.15691976692228, 24.944275511993666 60.15862114662314, 24.941593305802186 60.15931085227947, 24.939137992571556 60.15829916658429, 24.93936489871707 60.15659783847163))",POINT (60.157609503784975 24.941820101949148)
45,891126d15c7ffff,"POLYGON ((24.971749560272965 60.16634451384476, 24.974432531369988 60.16565419992243, 24.976890300747776 60.166665488783245, 24.976665112538004 60.16836715483262, 24.973981912493926 60.169057480495084, 24.971524129617134 60.168046128366484, 24.971749560272965 60.16634451384476))",POINT (60.16735584562856 24.974207232908277)
46,891126d33cfffff,"POLYGON ((24.9386841139821 60.16170179032398, 24.941366487566548 60.16101218994494, 24.943822117658193 60.16202387353916, 24.943595387368774 60.16372522074834, 24.940912784816327 60.164414832776764, 24.93845714153179 60.16340308594504, 24.9386841139821 60.16170179032398))",POINT (60.162713516778346 24.94113964723899)
47,891126d332fffff,"POLYGON ((24.957881968080038 60.173197878177845, 24.96056538068288 60.17250799716622, 24.963022886621793 60.17351954130407, 24.962796993345812 60.175221029708474, 24.960113351668927 60.17591092242585, 24.95765583235253 60.17489931503148, 24.957881968080038 60.173197878177845))",POINT (60.17420946522252 24.960339377187772)
48,891126d317bffff,"POLYGON ((24.933729663536447 60.17940347262539, 24.93641339422998 60.17871425853546, 24.938870028200736 60.17972618869575, 24.938642944649683 60.18142739618034, 24.935958984737944 60.18211662191372, 24.93350233760593 60.181104628517474, 24.933729663536447 60.17940347262539))",POINT (60.18041544565773 24.9361862005541)
49,891126d3117ffff,"POLYGON ((24.919854484270743 60.18625042013162, 24.922538655840427 60.1855616390177, 24.924995025064835 60.18657382423859, 24.92476723576959 60.188274853796486, 24.922082834854844 60.18896364651943, 24.919626452590894 60.1879513980739, 24.919854484270743 60.18625042013162))",POINT (60.18726264820836 24.92231075645338)
50,891126d3387ffff,"POLYGON ((24.9321828561131 60.17158682638875, 24.934865961003315 60.17089753025326, 24.93732194759502 60.17190940144349, 24.937094842448097 60.17361063200101, 24.93441150844076 60.17429993977256, 24.93195550870799 60.173288005349, 24.9321828561131 60.17158682638875))",POINT (60.17259874043934 24.934638745790597)
51,891126d3107ffff,"POLYGON ((24.924995025064835 60.18657382423859, 24.92767925841413 60.1858849261637, 24.930135931794236 60.18689704602529, 24.929908384922374 60.18859812718949, 24.92722392223655 60.18928703688737, 24.92476723576959 60.188274853796486, 24.924995025064835 60.18657382423859))",POINT (60.18758598696535 24.927451601419765)
52,891126d1517ffff,"POLYGON ((24.976214670286655 60.17177045440491, 24.97889809930858 60.17108011699522, 24.981356503280647 60.17209140134971, 24.981131491785423 60.17379308638493, 24.978447833754867 60.174483435549014, 24.97598941623863 60.173472087921866, 24.976214670286655 60.17177045440491))",POINT (60.17278178169643 24.978672977501482)
53,891126d0653ffff,"POLYGON ((24.95720349478415 60.178302156172414, 24.959887304123097 60.17761236877324, 24.9623451407486 60.17862397395093, 24.96211918142092 60.180325429783, 24.95943514293765 60.18101522888825, 24.95697729293687 60.18000356045377, 24.95720349478415 60.178302156172414))",POINT (60.1793138042617 24.959661234547056)
54,891126d3303ffff,"POLYGON ((24.9431418605306 60.1671278826542, 24.945824692081892 60.16643825896927, 24.948280956097147 60.167449938313055, 24.948054401809426 60.16915130458251, 24.945371341228466 60.16984093993104, 24.94291506397535 60.16882919734489, 24.9431418605306 60.1671278826542))",POINT (60.16813960487213 24.94559802769621)
55,891126d338fffff,"POLYGON ((24.93509315408211 60.16919630921732, 24.937776091519627 60.16850690777742, 24.940232064945473 60.16951871573215, 24.940005114110186 60.17121998836071, 24.93732194759502 60.17190940144349, 24.934865961003315 60.17089753025326, 24.93509315408211 60.16919630921732))",POINT (60.170208160034655 24.9375490306178)
56,891126d068bffff,"POLYGON ((24.94847199215405 60.18547497300306, 24.951156304520133 60.18478550159912, 24.953614181197164 60.185797296540535, 24.953387758819574 60.18749862613443, 24.950703217190767 60.18818810922402, 24.94824532721278 60.18717625103244, 24.94847199215405 60.18547497300306))",POINT (60.186486810849196 24.95092977189641)
57,891126d3313ffff,"POLYGON ((24.93800313030377 60.16680564467473, 24.940685900295378 60.166116137937166, 24.9431418605306 60.1671278826542, 24.94291506397535 60.16882919734489, 24.940232064945473 60.16951871573215, 24.937776091519627 60.16850690777742, 24.93800313030377 60.16680564467473))",POINT (60.16781743225663 24.94045899367283)
58,891126d33dbffff,"POLYGON ((24.93131875527781 60.158666476139715, 24.934000838339582 60.157977004308506, 24.936455847924368 60.1589887553211, 24.936228787581033 60.16069004139373, 24.93354647557348 60.16137952485333, 24.931091452865502 60.16036771061029, 24.93131875527781 60.158666476139715))",POINT (60.15967826999614 24.933773668018645)
59,891126d308fffff,"POLYGON ((24.89913101345385 60.16693436189634, 24.90181351859261 60.166245778696116, 24.90426736515823 60.16725804357979, 24.904038719430886 60.16895895486499, 24.9013559851548 60.16964754961056, 24.898902125753892 60.168635221524, 24.89913101345385 60.16693436189634))",POINT (60.167946669577454 24.901584763013396)
60,891126d3017ffff,"POLYGON ((24.90426736515823 60.16725804357979, 24.906949932177334 60.16656934353013, 24.909404082587454 60.16758154320803, 24.909175678871463 60.16928250614152, 24.906492882723505 60.16997121775045, 24.904038719430886 60.16895895486499, 24.90426736515823 60.16725804357979))",POINT (60.168270286064434 24.906721418578798)
61,891126d314bffff,"POLYGON ((24.929272236358255 60.173977196173325, 24.93195550870799 60.173288005349, 24.93441150844076 60.17429993977256, 24.93418424895064 60.17600112824995, 24.93150074744444 60.176690330703515, 24.929044734595344 60.175678333048886, 24.929272236358255 60.173977196173325))",POINT (60.17498917345491 24.931728139152845)
62,891126d0603ffff,"POLYGON ((24.95875673587678 60.18611943756666, 24.961441171283045 60.18542973208681, 24.963899656149064 60.18644139604419, 24.963673719014963 60.188142828739274, 24.960989054363253 60.188832545932655, 24.958530556101586 60.18782081871579, 24.95875673587678 60.18611943756666))",POINT (60.187131144447385 24.96121512384139)
63,891126d15abffff,"POLYGON ((24.978447833754867 60.174483435549014, 24.981131491785423 60.17379308638493, 24.9835902131555 60.174804368461956, 24.983365290072346 60.17650606297651, 24.980681403002404 60.17719642390208, 24.978222668065502 60.17618507854999, 24.978447833754867 60.174483435549014))",POINT (60.175494760570054 24.980906458360415)
64,891126d3113ffff,"POLYGON ((24.917626538714543 60.183537201127756, 24.92031048096998 60.18284843161579, 24.92276653301914 60.183860618950476, 24.922538655840427 60.1855616390177, 24.919854484270743 60.18625042013162, 24.91739841920455 60.185238169574745, 24.917626538714543 60.183537201127756))",POINT (60.18454943131125 24.9200824937294)
65,891126d159bffff,"POLYGON ((24.963700434397605 60.16841501099364, 24.966383511775728 60.16772491937959, 24.96884099088539 60.168736336997746, 24.968615406054404 60.17043790948933, 24.965932099681122 60.171128012822756, 24.96347460714447 60.17011653194366, 24.963700434397605 60.16841501099364))",POINT (60.1694264715232 24.966157816724134)
66,891126d33cbffff,"POLYGON ((24.936455847924368 60.1589887553211, 24.939137992571556 60.15829916658429, 24.941593305802186 60.15931085227947, 24.941366487566548 60.16101218994494, 24.9386841139821 60.16170179032398, 24.936228787581033 60.16069004139373, 24.936455847924368 60.1589887553211))",POINT (60.160000483869396 24.938911064327637)
67,891126d318bffff,"POLYGON ((24.912486910352644 60.18321360105464, 24.915170790778728 60.182524948475724, 24.917626538714543 60.183537201127756, 24.91739841920455 60.185238169574745, 24.914714309455718 60.18592683374169, 24.912258548550145 60.184914517872045, 24.912486910352644 60.18321360105464))",POINT (60.18422589654624 24.914942561237577)
68,891126d303bffff,"POLYGON ((24.91454116569801 60.16790486074375, 24.91722385635452 60.16721592695331, 24.919678614446365 60.16822799614981, 24.91945069486915 60.1699290623521, 24.91676777510082 60.170618007729715, 24.914313004032056 60.16960587531629, 24.91454116569801 60.16790486074375))",POINT (60.168916972765665 24.916995826833414)
69,891126d337bffff,"POLYGON ((24.954099220637875 60.16266749305402, 24.956781778705857 60.161977541832634, 24.959238319854023 60.16298902927925, 24.95901231627937 60.16469053119709, 24.956329529269127 60.16538049410964, 24.95387297478632 60.16436894341157, 24.954099220637875 60.16266749305402))",POINT (60.16367902338867 24.956555665001083)
70,891126d31abffff,"POLYGON ((24.922082834854844 60.18896364651943, 24.92476723576959 60.188274853796486, 24.92722392223655 60.18928703688737, 24.92699622086124 60.19098807592686, 24.924311590570458 60.191676880266044, 24.92185489104151 60.190664633947996, 24.922082834854844 60.18896364651943))",POINT (60.1899758724733 24.924539424272563)
71,891126d3333ffff,"POLYGON ((24.947601227013557 60.17255400458208, 24.95028451665501 60.17186435756286, 24.952741414862704 60.17287603259145, 24.952515036722286 60.17457741788499, 24.949831517989555 60.17526707658208, 24.947374606498958 60.17425533830623, 24.947601227013557 60.17255400458208))",POINT (60.173565722498935 24.95005802835684)
